,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.534,0.999999999990343,509.30249999999995,-254.65125
0.535,0.9999999999903688,510.29340277777777,-255.14670138888889
0.536,0.9999999999903948,511.2844444444444,-255.64222222222227
0.537,0.9999999999904209,512.2756250000001,-256.13781250000005
0.538,0.9999999999904468,513.2669444444444,-256.6334722222223
0.539,0.9999999999904731,514.2584027777779,-257.12920138888893
0.54,0.9999999999904989,515.25,-257.625
0.541,0.9999999999905249,516.2417361111111,-258.12086805555555
0.542,0.999999999990551,517.233611111111,-258.61680555555563
0.543,0.9999999999905769,518.225625,-259.1128125
0.544,0.9999999999906033,519.2177777777779,-259.60888888888894
0.545,0.9999999999906292,520.2100694444445,-260.1050347222223
0.546,0.9999999999906553,521.2025,-260.60125000000005
0.547,0.9999999999906812,522.1950694444442,-261.09753472222224
0.548,0.9999999999907073,523.1877777777776,-261.5938888888889
0.549,0.9999999999907333,524.180625,-262.0903125
0.55,0.9999999999907594,525.1736111111111,-262.58680555555554
