Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
300, 5.00000, 0.00308364, -170.472, 0.00308326, -50.4701, 0.00308336, 69.5229, 0.00223552, -79.7432, 0.00223525, 40.2587, 0.00223532, 160.252
420, 7.00000, 0.00307505, -9.83712, 0.0030753, -129.824, 0.00307577, 110.165, 0.00159242, 80.6834, 0.00159255, -39.3037, 0.00159279, -159.314
540, 9.00000, 1.61378E-008, -33.909, 2.87411E-008, -139.792, 2.88548E-008, 72.7499, 6.49998E-009, 56.4959, 1.15763E-008, -49.3875, 1.16221E-008, 163.155
660, 11.00000, 198.063, 48.6472, 198.063, 168.647, 198.063, -71.3528, 65.2716, 138.979, 65.2716, -101.021, 65.2716, 18.9785
780, 13.00000, 102.253, 65.8694, 102.253, -54.1306, 102.253, -174.131, 28.5134, 156.15, 28.5134, 36.1497, 28.5134, -83.8503
900, 15.00000, 6.33397E-009, 95.8998, 2.66977E-008, -146.798, 2.44491E-008, 19.893, 1.53074E-009, -173.857, 6.4521E-009, -56.5548, 5.90866E-009, 110.136
60, 1.00000, 7966.39, -0.180069, 7966.39, -120.18, 7966.39, 119.82, 90.8327, -0.654532, 90.8327, -120.655, 90.8327, 119.345
180, 3.00000, 9.23675E-010, -165.13, 3.6409E-009, 72.1807, 3.23682E-009, -93.9227, 1.11589E-009, -73.9157, 4.39856E-009, 163.395, 3.91039E-009, -2.7082
300, 5.00000, 0.000527613, -164.938, 0.000527555, -44.9358, 0.000527569, 75.0578, 0.0003825, -74.2089, 0.000382458, 45.793, 0.000382468, 165.787
420, 7.00000, 0.000523918, -2.3787, 0.000523961, -122.367, 0.000524032, 117.623, 0.000271312, 88.1419, 0.000271334, -31.8464, 0.000271371, -151.856
540, 9.00000, 2.52933E-009, -26.8477, 4.54174E-009, -132.737, 4.55359E-009, 79.5557, 1.01876E-009, 63.5572, 1.82932E-009, -42.3316, 1.83409E-009, 169.961
660, 11.00000, 31.5108, 57.0744, 31.5108, 177.074, 31.5108, -62.9256, 10.3844, 147.406, 10.3844, -92.5944, 10.3844, 27.4056
780, 13.00000, 16.3969, 75.747, 16.3969, -44.253, 16.3969, -164.253, 4.5723, 166.027, 4.5723, 46.0274, 4.5723, -73.9726
900, 15.00000, 9.9838E-010, 106.67, 4.31842E-009, -135.562, 3.95326E-009, 31.5257, 2.4128E-010, -163.087, 1.04364E-009, -45.3188, 9.55392E-010, 121.769
60, 1.00000, 7876.26, -3.95881, 7876.26, -123.959, 7876.26, 116.041, 2007.66, -7.8745, 2007.66, -127.874, 2007.66, 112.126
180, 3.00000, 2.60104E-010, 173.956, 1.01783E-009, 51.3809, 9.04743E-010, -114.599, 3.14231E-010, -94.8296, 1.22964E-009, 142.595, 1.09302E-009, -23.3845
300, 5.00000, 2.76018E-005, 156.999, 2.75867E-005, -82.995, 2.75918E-005, 36.9749, 2.00103E-005, -112.272, 1.99994E-005, 7.73379, 2.0003E-005, 127.704
420, 7.00000, 3.27401E-005, -47.7544, 3.27475E-005, -167.712, 3.27649E-005, 72.2557, 1.69545E-005, 42.7662, 1.69584E-005, -77.1912, 1.69674E-005, 162.776
540, 9.00000, 4.92587E-010, -74.1298, 8.77899E-010, -179.796, 8.83061E-010, 32.6896, 1.98404E-010, 16.2751, 3.536E-010, -89.3915, 3.55679E-010, 123.095
660, 11.00000, 5.37043, 5.22466, 5.37043, 125.225, 5.37043, -114.775, 1.76983, 95.5559, 1.76983, -144.444, 1.76983, -24.4441
780, 13.00000, 2.48181, 20.2628, 2.48181, -99.7372, 2.48181, 140.263, 0.692055, 110.543, 0.692055, -9.4569, 0.692055, -129.457
